Address_ID,Timestamp,Do.you.agree.to.participate.in.this.study.,X2..GPS.Coordinates.of.the.Shop,X3..Market.Name,X4...Group.,X5..Section,X6..Line,X7..Block.Number,X8..Shop.Number..Visible.Tag.,X9..Shop.Number..Count.,X10..Shop.Level,X11..Shop.Occupancy.Status,X12..Locked.Up.Status,X13..Shop.Type,X15..Position.in.Shop,X17..How.many.people.work.in.your.shop.each.day.,X18..Shop.Opening.Time,X19..Shop.Closing.Time,X20..Does.the.shop.owner.have.a.bank.account.,X21..Name.of.Bank.1,X22..Name.of.Bank.2,X23..Does.the.shop.owner.Have..a.smart.phone.,X24..Which.payment.platform.have.you.used.,X25..If.you.could.save.money.on.Electricity.would.you.be.willing.to.use.some.on.the.savings.to.fund.value.added.services.such.as.pensions..Healthcare.or.Educational.savings.plans,X26...What.would.be.your.First.Choice.for.value.added.Services,X27..What.would.be.the.second.choice.for.value.added.services,X28..What.would.be.the.Third.choice.for.value.added.services,X29..Is.There.Electricity.Supply.In.The.Shop.,X30..Do.You.Need.More.Hours.of.Electricity.In.This.Shop.,X31..Is.there.a.supply.of.electricity.for.this.shop.from.the.grid.utility..local.discos.NEPA.PHCN..connected.directly.to.this.shop..not.a.shared.connection.from.outside..,X32..How.frequent.do.you.pay.for.this.electricity,X33..How.Much.Do.you.Pay.for.grid.utility.service...local.disco.NEPA.PHCN.etc...during.the.payment.period.you.mentioned.before.,X34..Total.hours.of.power.interruption.from.the.grid.in.a.week.,X35..Is.there.a.supply.of.electricity.from.a..merger..generators.,X36..How.frequently.do.you.pay.for.this.electricity.supply..merger.,X37..How.Much.Do.You.Pay.For.electricity.from.the.merger.Generator..during.the.payment.period.you.mentioned.before.,X47..Total.amount.of.money.spent.on.fuel.for.all.generators..during.the.payment.period.you.mentioned.before.,X48..How.long.do.you.typically.run.the.generator.daily..in.hours..,X49..On.the.most.recent.workday..how.many.hours.of.generator.power.did.this.shop.use.,X51..What.price.do.you.typically.pay.for.fuel..Naira...liter..,X64..Which.appliance.is.the.most.important.for.your.business.to.function.properly,X65..Which.appliance.is.the.Second.most.important.for.your.business.to.function.properly,X66..Which.appliance.is.the.Third.most.important.for.your.business.to.function.properly,Latitude,Longitude
Onitsha--SEC(A)--LIN(14)--BL(7)--SNUM(5636)--SLEV(SECOND FLOOR),2022-05-26 12:41:19,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Closed Shop,SECTION A,14,7,5636,50.0,SECOND FLOOR,RESIDENTIAL,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
Onitsha--SEC(B)--LIN(11)--BL(5)--SNUM(14915)--SLEV(GROUND FLOOR),2022-04-13 12:00:54,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION B,11,5,14915,77.0,GROUND FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
KTK--SEC(SECTION C)--LIN(LINE 1)--BL(4)--SNUM(1640)--SLEV(0),2022-03-17 00:26:57,Accept,"9.94xxxx, 8.87xxxx",Katako,Closed Shop,SECTION C,LINE 1,4,1640,2.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,9.94,8.87
MDA--SEC(SECTION D)--LIN(LINE 2)--BL(BLOCK AAAO)--SNUM(3583)--SLEV(0),2022-05-13 17:10:16,Accept,"10.3xxxx8, 9.84xxxx",Muda Lawal Market,Closed Shop,SECTION D,LINE 2,BLOCK AAAO,3583,29.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.3,9.84
KTK--SEC(SECTION C)--LIN(LINE 1)--BL(21)--SNUM(2225)--SLEV(0),2022-03-19 14:53:54,Accept,"9.94xxxx, 8.87xxxx",Katako,Open Stall,SECTION C,LINE 1,21,2225,24.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,9.94,8.87
GKM--SEC(A)--LIN(8)--BL(1)--SNUM(163)--SLEV(0),2022-03-26 14:05:23,Accept,"7.32xxxx, 9.00xxxx",Gboko Main Market,Closed Shop,SECTION A,8,1,163,2.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Leather shoes, hand bags and other leather products and clothing",Owner,6 to 10,7:00 AM,6:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,False,OTHERS,TRUE,Education,Pension,Healthcare,True,True,False,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Refrigerator,7.32,9.0
IGD--SEC(B)--BL(2)--LIN(1)--SNUM(127)-SLEV(0),2023-07-14 13:34:20,Accept,"5.52xxxx, 5.76xxxx",Igbudu Market,Closed Shop,SECTION B,1,2,127,21.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.52,5.76
MDA--SEC(SECTION B)--LIN(LINE 1)--BL(BLOCK AB)--SNUM(1007)--SLEV(0),2022-05-13 11:31:53,Accept,"10.3xxxx8, 9.84xxxx",Muda Lawal Market,Closed Shop,SECTION B,LINE 1,BLOCK AB,1007,17.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Food provision and foods perishable items,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,False,OTHERS,FALSE,Healthcare,Education,Savings Account,True,True,False,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.3,9.84
SHD--SEC(SECTION C)--LIN(LINE 2)--BL(BLOCK V)--SNUM(1046)--SLEV(0),2022-05-25 09:54:43,Accept,"11.9xxxx4, 8.51xxxx","Sharada Industrial Estate (Phases I, Ii And Iii)",Closed Shop,SECTION C,LINE 2,BLOCK V,1046,20.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,11.9,8.51
Onitsha--SEC(B)--LIN(13)--BL(3)--SNUM(15873)--SLEV(GROUND FLOOR),2022-05-25 12:34:18,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION B,13,3,15873,261.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,3 to 5,7:00 AM,5:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,Quickteller,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
OTK--SEC(E)--BL(3)--LIN(2)--SNUM(3596)--SLEV(0),2022-03-28 15:49:56,Accept,"7.19xxxx, 8.13xxxx",Otukpo Main Market,Closed Shop,SECTION E,3,2,3596,11.0,GROUND FLOOR,LOCKED UP,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,7.19,8.13
WTI--SEC(SECTION B)--LIN(LINE 2)--BL(BLOCK S)--SNUM(884)--SLEV(0),2022-05-12 11:20:00,Accept,"10.3xxxx5, 9.84xxxx",Wunti Market,Open Stall,SECTION B,LINE 2,BLOCK S,884,5.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Sales Boy/Girl,1 to 2,8:00 AM,10:00 PM,TRUE,Guaranty Trust Bank Plc,FIRST BANK NIGERIA LIMITED,True,Remitta,TRUE,Healthcare,Savings Account,Healthcare,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.3,9.84
SBG--SEC(SECTION E)--LIN(LINE 1)--BL(AM)--SNUM(6569)--SLEV(0),2022-05-31 14:28:23,Accept,"11.1xxxx6, 7.72xxxx",Sabongari Zaria,Closed Shop,SECTION E,LINE 1,AM,6569,42.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,11.1,7.72
Onuimo--SEC(A)--LIN(124)--BL(2)--SNUM(2479)--SLEV(0),2022-04-14 10:39:40,Accept,"5.55xxxx, 7.41xxxx",Industrial Market (Onuimo Industrial And General Goods Market),Open Stall,SECTION A,124,2,2479,5.0,GROUND FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,5.55,7.41
KRM--SEC(SECTION D)--LIN(LINE 2)--BL(BLOCK 77)--SNUM(5307)--SLEV(GROUND FLOOR),2022-05-21 12:06:53,Accept,"12.0xxxx8, 8.51xxxx",Kurmi Market / Kurumi Market,Closed Shop,SECTION D,LINE 2,BLOCK 77,5307,29.0,GROUND FLOOR,MOSQUE,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,12.0,8.51
OKJ--SEC(SECTION F)--LIN(LINE 1)--BL(15)--SNUM(2973)--SLEV(0),2022-05-19 12:20:30,Accept,"6.81xxxx, 3.93xxxx",Oke-Aje Market,Open Stall,SECTION F,LINE 1,15,2973,4.0,GROUND FLOOR,SHED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.81,3.93
Onitsha--SEC(A)--LIN(14)--BL(3)--SNUM(4672)--SLEV(GROUND FLOOR),2022-04-09 10:25:00,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Closed Shop,SECTION A,14,3,4672,9.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
TSH--SEC(SECTION A)--LIN(LINE 10)--BL(BLOCK H)--SNUM(491)--SLEV(0),2022-04-13 12:24:34,Accept,"10.2xxxx3, 11.1xxxx2",Tshon Kasuwa,Closed Shop,SECTION A,LINE 10,BLOCK H,491,7.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,7:00 AM,8:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,True,True,True,Weekly,1500.0,25.0,False,Daily,300.0,660.0,3.0,4.0,185.0,Printing Machine,Printing Machine,Printing Machine,10.2,11.1
KTK--SEC(SECTION A)--LIN(LINE 1)--BL(33)--SNUM(1015)--SLEV(1),2022-03-19 10:20:03,Accept,"9.94xxxx, 8.87xxxx",Katako,Open Stall,SECTION A,LINE 1,33,1015,1.0,FIRST FLOOR,OCCUPIED,Locked up But Occupied,Welding / Metal Works,Owner,6 to 10,9:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,None,TRUE,Healthcare,Education,Savings Account,True,True,True,Monthly,500.0,1.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Charging Points,Welding Machines,Woodwork Machines,9.94,8.87
Onitsha--SEC(A)--LIN(14)--BL(7)--SNUM(5784)--SLEV(SECOND FLOOR),2022-05-26 15:40:24,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION A,14,7,5784,135.0,SECOND FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
TND--SEC(SECTION D)--LIN(LINE 1)--BL(D81)--SNUM(5123)--SLEV(0),2022-06-11 14:42:00,Accept,"10.5xxxx4, 7.40xxxx",Tundun Wada Market,Closed Shop,SECTION D,LINE 1,D81,5123,34.0,GROUND FLOOR,LOCKED UP,Packing Shop,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,10.5,7.4
SBG--SEC(SECTION D)--LIN(LINE 2)--BL(AC)--SNUM(6080)--SLEV(0),2023-06-21 20:53:35,Accept,"11.1xxxx6, 7.72xxxx",Sabongari Zaria,Closed Shop,SECTION D,LINE 2,AC,6080,21.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,"Leather shoes, hand bags and other leather products and clothing",Owner,03-May,8:00 AM,6:00 PM,FALSE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,PAGA,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,11.1,7.72
OGG--SEC(E)--LIN(1)--BL(2)--SNUM(1886)--SLEV(0),2022-05-31 14:54:21,Accept,"6.83xxxx, 7.41xxxx",Ogige Market,Open Stall,SECTION E,1,2,1886,89.0,GROUND FLOOR,UNDER CONSTRUCTION,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.83,7.41
Onitsha--SEC(A)--LIN(24)--BL(12)--SNUM(9884)--SLEV(GROUND FLOOR),2022-04-07 08:29:00,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION A,24,12,9884,17.0,GROUND FLOOR,OCCUPIED,Locked up But Occupied,COLD DRINKS SELLER,Sales Boy/Girl,1 to 2,8:00 AM,5:00 PM,I Don't Know,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,Quickteller,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
Onitsha--SEC(B)--LIN(16)--BL(2)--SNUM(18536)--SLEV(FIRST FLOOR),2022-04-14 12:17:26,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION B,16,2,18536,1313.0,FIRST FLOOR,OCCUPIED,Locked up But Occupied,"Leather shoes, hand bags and other leather products and clothing",Owner,3 to 5,9:00 AM,5:00 PM,TRUE,FIRST BANK NIGERIA LIMITED,FIRST BANK NIGERIA LIMITED,True,Remitta,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
Onitsha--SEC(B)--LIN(6)--BL(2)--SNUM(12240)--SLEV(GROUND FLOOR),2022-05-25 10:13:27,Accept,"6.14xxxx, 6.77xxxx",Onitsha Main Market,Open Stall,SECTION B,6,2,12240,52.0,GROUND FLOOR,UNOCCUPIED,Locked up But Occupied,Tailoring / T-Shirts / Clothing,Owner,1 to 2,8:00 AM,6:00 PM,TRUE,Access Bank Plc,FIRST BANK NIGERIA LIMITED,True,OTHERS,FALSE,Healthcare,Education,Savings Account,False,True,True,Monthly,1000.0,25.0,False,Daily,300.0,1000.0,4.0,4.0,185.0,Light Bulbs,Fan,Charging Points,6.14,6.77
